Resortní identifikátor školy,Kód místa,Místo poskytovaného vzdìlávání,Resortní identifikátor právnické osoby,Kód oboru vzdìlání,Název oboru vzdìlání,Poèet žákù daného oboru
181031574,579025,Trutnov,600024610,7862C01,Praktická škola jednoletá,5
181031574,579025,Trutnov,600024610,7862C02,Praktická škola dvouletá,4
181031574,579025,Trutnov,600024610,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,9
181031574,579025,Trutnov,600024610,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
181064197,574121,Jaromìø,600024164,7862C01,Praktická škola jednoletá,5
181064197,574121,Jaromìø,600024164,7862C01,Praktická škola jednoletá,0
181064197,574121,Jaromìø,600024164,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,5
181064197,574121,Jaromìø,600024164,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
181064341,572659,Jièín,650067487,7862C01,Praktická škola jednoletá,2
181064341,572659,Jièín,650067487,7862C02,Praktická škola dvouletá,13
181064341,572659,Jièín,650067487,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,15
181064341,572659,Jièín,650067487,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
181083787,573868,Náchod,600024245,7862C02,Praktická škola dvouletá,7
181083787,573868,Náchod,600024245,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,7
181083787,573868,Náchod,600024245,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
181093626,573922,Broumov,600024121,7862C01,Praktická škola jednoletá,4
181093626,573922,Broumov,600024121,7862C02,Praktická škola dvouletá,2
181093626,573922,Broumov,600024121,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,6
181093626,573922,Broumov,600024121,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
